0881	Audio Source: Microphone
0882	Audio Source: Alarm
0883	Audio Source: Bell
0884	Audio Source: Horn
0885	Audio Source: Broadcasting Device
0886	Audio Source: Service Desk
0887	Audio Source: Kiosk
0888	Audio Source: Broadcasting Room
0889	Audio Source: Auditorium
08C0	Motorized Vehicle
08C1	Motorized Vehicle: Car
08C2	Motorized Vehicle: Large Goods Vehicle
08C3	Motorized Vehicle: 2-Wheeled Vehicle
08C4	Motorized Vehicle: Motorbike
08C5	Motorized Vehicle: Scooter
08C6	Motorized Vehicle: Moped
08C7	Motorized Vehicle: 3-Wheeled Vehicle
08C8	Motorized Vehicle: Light Vehicle
08C9	Motorized Vehicle: Quad Bike
08CA	Motorized Vehicle: Minibus
08CB	Motorized Vehicle: Bus
08CC	Motorized Vehicle: Trolley
08CD	Motorized Vehicle: Agricultural Vehicle
08CE	Motorized Vehicle: Camper / Caravan
08CF	Motorized Vehicle: Recreational Vehicle / Motor Home
0900	Domestic Appliance
0901	Domestic Appliance: Refrigerator
0902	Domestic Appliance: Freezer
0903	Domestic Appliance: Oven
0904	Domestic Appliance: Microwave
0905	Domestic Appliance: Toaster
0906	Domestic Appliance: Washing Machine
0907	Domestic Appliance: Dryer
0908	Domestic Appliance: Coffee maker
0909	Domestic Appliance: Clothes iron
090A	Domestic Appliance: Curling iron
090B	Domestic Appliance: Hair dryer
090C	Domestic Appliance: Vacuum cleaner
090D	Domestic Appliance: Robotic vacuum cleaner
090E	Domestic Appliance: Rice cooker
090F	Domestic Appliance: Clothes steamer
0940	Wearable Audio Device
0941	Wearable Audio Device: Earbud
0942	Wearable Audio Device: Headset
0943	Wearable Audio Device: Headphones
0944	Wearable Audio Device: Neck Band
0980	Aircraft
0981	Aircraft: Light Aircraft
0982	Aircraft: Microlight
0983	Aircraft: Paraglider
0984	Aircraft: Large Passenger Aircraft
09C0	AV Equipment
09C1	AV Equipment: Amplifier
09C2	AV Equipment: Receiver
09C3	AV Equipment: Radio
09C4	AV Equipment: Tuner
09C5	AV Equipment: Turntable
09C6	AV Equipment: CD Player
09C7	AV Equipment: DVD Player
09C8	AV Equipment: Bluray Player
09C9	AV Equipment: Optical Disc Player
09CA	AV Equipment: Set-Top Box
0A00	Display Equipment
0A01	Display Equipment: Television
0A02	Display Equipment: Monitor
0A03	Display Equipment: Projector
0A40	Hearing aid
0A41	Hearing aid: In-ear hearing aid
0A42	Hearing aid: Behind-ear hearing aid
0A43	Hearing aid: Cochlear Implant
0A80	Gaming
0A81	Gaming: Home Video Game Console
0A82	Gaming: Portable handheld console
0AC0	Signage
0AC1	Signage: Digital Signage
0AC2	Signage: Electronic Label
0C40	Pulse Oximeter
0C41	Pulse Oximeter: Fingertip Pulse Oximeter
0C42	Pulse Oximeter: Wrist Worn Pulse Oximeter
0C80	Weight Scale
0CC0	Personal Mobility Device
0CC1	Personal Mobility Device: Powered Wheelchair
0CC2	Personal Mobility Device: Mobility Scooter
0D00	Continuous Glucose Monitor
0D40	Insulin Pump
0D41	Insulin Pump: Insulin Pump, durable pump
0D44	Insulin Pump: Insulin Pump, patch pump
0D48	Insulin Pump: Insulin Pen
0D80	Medication Delivery
0DC0	Spirometer
0DC1	Spirometer: Handheld Spirometer
1440	Outdoor Sports Activity
1441	Outdoor Sports Activity: Location Display
1442	Outdoor Sports Activity: Location and Navigation Display
1443	Outdoor Sports Activity: Location Pod
1444	Outdoor Sports Activity: Location and Navigation Pod
