00002A5F00001000800000805F9B34FB	PLX Continuous Measurement Characteristic
00002A6000001000800000805F9B34FB	PLX Features
00002A6200001000800000805F9B34FB	Pulse Oximetry Control Point
00002A6300001000800000805F9B34FB	Cycling Power Measurement
00002A6400001000800000805F9B34FB	Cycling Power Vector
00002A6500001000800000805F9B34FB	Cycling Power Feature
00002A6600001000800000805F9B34FB	Cycling Power Control Point
00002A6700001000800000805F9B34FB	Location and Speed Characteristic
00002A6800001000800000805F9B34FB	Navigation
00002A6900001000800000805F9B34FB	Position Quality
00002A6A00001000800000805F9B34FB	LN Feature
00002A6B00001000800000805F9B34FB	LN Control Point
00002A6C00001000800000805F9B34FB	Elevation
00002A6D00001000800000805F9B34FB	Pressure
00002A6E00001000800000805F9B34FB	Temperature
00002A6F00001000800000805F9B34FB	Humidity
00002A7000001000800000805F9B34FB	True Wind Speed
00002A7100001000800000805F9B34FB	True Wind Direction
00002A7200001000800000805F9B34FB	Apparent Wind Speed
00002A7300001000800000805F9B34FB	Apparent Wind Direction
00002A7400001000800000805F9B34FB	Gust Factor
00002A7500001000800000805F9B34FB	Pollen Concentration
00002A7600001000800000805F9B34FB	UV Index
00002A7700001000800000805F9B34FB	Irradiance
00002A7800001000800000805F9B34FB	Rainfall
00002A7900001000800000805F9B34FB	Wind Chill
00002A7A00001000800000805F9B34FB	Heat Index
00002A7B00001000800000805F9B34FB	Dew Point
00002A7D00001000800000805F9B34FB	Descriptor Value Changed
00002A7E00001000800000805F9B34FB	Aerobic Heart Rate Lower Limit
00002A7F00001000800000805F9B34FB	Aerobic Threshold
00002A8000001000800000805F9B34FB	Age
00002A8100001000800000805F9B34FB	Anaerobic Heart Rate Lower Limit
00002A8200001000800000805F9B34FB	Anaerobic Heart Rate Upper Limit
00002A8300001000800000805F9B34FB	Anaerobic Threshold
00002A8400001000800000805F9B34FB	Aerobic Heart Rate Upper Limit
00002A8500001000800000805F9B34FB	Date of Birth
00002A8600001000800000805F9B34FB	Date of Threshold Assessment
00002A8700001000800000805F9B34FB	Email Address
00002A8800001000800000805F9B34FB	Fat Burn Heart Rate Lower Limit
00002A8900001000800000805F9B34FB	Fat Burn Heart Rate Upper Limit
00002A8A00001000800000805F9B34FB	First Name
00002A8B00001000800000805F9B34FB	Five Zone Heart Rate Limits
00002A8C00001000800000805F9B34FB	Gender
00002A8D00001000800000805F9B34FB	Heart Rate Max
00002A8E00001000800000805F9B34FB	Height
00002A8F00001000800000805F9B34FB	Hip Circumference
00002A9000001000800000805F9B34FB	Last Name
00002A9100001000800000805F9B34FB	Maximum Recommended Heart Rate
00002A9200001000800000805F9B34FB	Resting Heart Rate
00002A9300001000800000805F9B34FB	Sport Type for Aerobic and Anaerobic Thresholds
00002A9400001000800000805F9B34FB	Three Zone Heart Rate Limits
00002A9500001000800000805F9B34FB	Two Zone Heart Rate Limit
00002A9600001000800000805F9B34FB	VO2 Max
00002A9700001000800000805F9B34FB	Waist Circumference
00002A9800001000800000805F9B34FB	Weight
00002A9900001000800000805F9B34FB	Database Change Increment
00002A9A00001000800000805F9B34FB	User Index
00002A9B00001000800000805F9B34FB	Body Composition Feature
00002A9C00001000800000805F9B34FB	Body Composition Measurement
00002A9D00001000800000805F9B34FB	Weight Measurement
00002A9E00001000800000805F9B34FB	Weight Scale Feature
00002A9F00001000800000805F9B34FB	User Control Point
00002AA000001000800000805F9B34FB	Magnetic Flux Density - 2D
00002AA100001000800000805F9B34FB	Magnetic Flux Density - 3D
00002AA200001000800000805F9B34FB	Language
00002AA300001000800000805F9B34FB	Barometric Pressure Trend
00002AA400001000800000805F9B34FB	Bond Management Control Point
00002AA500001000800000805F9B34FB	Bond Management Features
00002AA600001000800000805F9B34FB	Central Address Resolution
00002AA700001000800000805F9B34FB	CGM Measurement
00002AA800001000800000805F9B34FB	CGM Feature
00002AA900001000800000805F9B34FB	CGM Status
00002AAA00001000800000805F9B34FB	CGM Session Start Time
00002AAB00001000800000805F9B34FB	CGM Session Run Time
00002AAC00001000800000805F9B34FB	CGM Specific Ops Control Point
00002AAD00001000800000805F9B34FB	Indoor Positioning Configuration
00002AAE00001000800000805F9B34FB	Latitude
00002AAF00001000800000805F9B34FB	Longitude
00002AB000001000800000805F9B34FB	Local North Coordinate
00002AB100001000800000805F9B34FB	Local East Coordinate
00002AB200001000800000805F9B34FB	Floor Number
00002AB300001000800000805F9B34FB	Altitude
00002AB400001000800000805F9B34FB	Uncertainty
00002AB500001000800000805F9B34FB	Location Name
00002AB600001000800000805F9B34FB	URI
00002AB700001000800000805F9B34FB	HTTP Headers
00002AB800001000800000805F9B34FB	HTTP Status Code
00002AB900001000800000805F9B34FB	HTTP Entity Body
00002ABA00001000800000805F9B34FB	HTTP Control Point
00002ABB00001000800000805F9B34FB	HTTPS Security
00002ABC00001000800000805F9B34FB	TDS Control Point
00002ABD00001000800000805F9B34FB	OTS Feature
00002ABE00001000800000805F9B34FB	Object Name
00002ABF00001000800000805F9B34FB	Object Type
00002AC000001000800000805F9B34FB	Object Size
00002AC100001000800000805F9B34FB	Object First-Created
00002AC200001000800000805F9B34FB	Object Last-Modified
00002AC300001000800000805F9B34FB	Object ID
00002AC400001000800000805F9B34FB	Object Properties
00002AC500001000800000805F9B34FB	Object Action Control Point
00002AC600001000800000805F9B34FB	Object List Control Point
00002AC700001000800000805F9B34FB	Object List Filter
00002AC800001000800000805F9B34FB	Object Changed
00002AC900001000800000805F9B34FB	Resolvable Private Address Only
00002ACC00001000800000805F9B34FB	Fitness Machine Feature
00002ACD00001000800000805F9B34FB	Treadmill Data
00002ACE00001000800000805F9B34FB	Cross Trainer Data
00002ACF00001000800000805F9B34FB	Step Climber Data
00002AD000001000800000805F9B34FB	Stair Climber Data
00002AD100001000800000805F9B34FB	Rower Data
